babyname,sex,origin
Amalthea,girl,Greek
Samanthi,girl,Unknown
Genevra,girl,Welsh
Aurea,girl,Latin
Victorien,boy,Latin
Laurenne,girl,Latin
Vardina,girl,Hebrew
Chadwick,boy,British
Ailis,girl,Norse
Patria,girl,Unknown
Cordell,boy,French
Bayou,boy,Native American
Ilanis,girl,French
Garald,boy,Scandinavian
Gillion,boy,Irish
Guenther,boy,German
Gladyss,girl,Welsh
Catharin,girl,Greek
Madelynn,girl,Hebrew
Amalinda,girl,Spanish
Niv,boy,Unknown
Kelsay,girl,Unknown
Nazarius,boy,Latin
Lacretia,girl,Latin
Modred,boy,British
Lil,girl,Latin
Kailey,girl,Irish
Bit,girl,Hebrew
Radly,boy,British
Leron,boy,French
Duggan,boy,Irish
Rinaldo,boy,Latin
Elfriede,girl,German
Cas,girl,Greek
Annis,girl,Greek
Kathlinne,girl,Unknown
Shayla,girl,Gaelic
Marlena,girl,Hebrew
Jioke,boy,Unknown
Mayme,girl,Latin
Chyna,girl,Chinese
Grayce,girl,Latin
Marialinda,girl,Latin
Daytan,boy,British
Karianna,girl,Unknown
Nomi,girl,Unknown
Ehud,boy,Hebrew
Reginalt,boy,Latin
Relkel,girl,Unknown
Myrah,girl,Greek
Sharizad,girl,Persian
Arundell,boy,British
Brendan,boy,Irish
Alka,girl,Indian
Thirshka,girl,Hebrew
Twayn,boy,British
Wylan,boy,British
Silvanos,boy,Unknown
Abd al Salam,boy,Arabic
Kasimir,boy,Slavic
Sarely,girl,Hebrew
Haywood,boy,British
Danea,girl,Greek
Damen,boy,Greek
Susee,girl,Hebrew
Vellma,girl,British
Christele,girl,Unknown
Kerryann,girl,Unknown
Abeetal,girl,Hebrew
Adelisa,girl,French
Curtell,boy,French
Bonnin,girl,Scottish
Nilda,girl,Italian
Alleyn,boy,German
Veronick,girl,Unknown
Hardwyn,boy,British
Alon,boy,Hebrew
Maxim,boy,Latin
Cabbot,boy,French
Rhiane,girl,Irish
Kirssan,girl,Unknown
Carlsen,boy,Scandinavian
Blanch,girl,German
Arkadios,boy,Spanish
Carlye,girl,Latin
Olexiy,boy,Unknown
Laquita,girl,American
Melli,girl,Greek
Gilberto,boy,French
Adalgiso,boy,German
Giannina,girl,Italian
Eadith,girl,British
Dalene,girl,British
Katreena,girl,Unknown
Harriette,girl,Unknown
Caren,girl,Latin
Amaybelle,girl,British
Venise,girl,Latin
Baha,boy,Arabic
Ward,boy,British
Kaitlynn,girl,Greek
Reg,boy,Latin
Gwalchmai,boy,Welsh
Rossanna,girl,British
Kojo,boy,Ghanaian
Iolanthe,girl,Greek
Hearding,boy,Unknown
Barbeeleen,girl,Latin
Karey,girl,Unknown
Nuha,girl,Unknown
Priestley,boy,British
DeAndre,boy,American
Morton,boy,British
Charilyn,girl,French
Lawana,girl,Unknown
Alegria,girl,Latin
Alandra,girl,Greek
Aline,girl,Modern
Lorain,girl,French
Damarios,boy,Spanish
Shelaine,girl,Unknown
Ville,boy,Unknown
Himesh,boy,Indian
Patricie,girl,Unknown
Roland,boy,German
Erron,boy,Unknown
Giannis,boy,Hebrew
Tano,boy,Unknown
Harith,boy,Unknown
Moia,girl,Greek
Laneisha,girl,Unknown
Gertie,girl,German
Allmidah,girl,Latin
Tassiana,girl,Russian
Balbo,boy,Latin
Laquana,girl,American
Artimus,boy,Greek
Jubal,boy,Hebrew
Ursley,girl,Scandinavian
Matthew,boy,Hebrew
Janse,boy,Scandinavian
Viviane,girl,Latin
Stoffel,boy,Greek
Devane,boy,American
Adohnes,boy,Greek
Hennrietta,girl,Unknown
Poindexter,boy,Unknown
Pearl,girl,Latin
Brien,boy,Irish
Nazira,girl,Unknown
Okonkwo,boy,Unknown
Andris,boy,French
Andrijana,girl,Greek
Newman,boy,British
Veniamin,boy,Hebrew
Geordie,boy,Greek
Noak,boy,Hebrew
Abdul Qadir,boy,Arabic
Hodgson,boy,British
Vannie,girl,Greek
Gaylyn,girl,Unknown
Darach,boy,Irish
Leposava,girl,Unknown
Nelsie,girl,Unknown
Fantine,girl,Latin
Devaney,girl,Irish
Pollyrd,boy,British
Warner,boy,German
Leonardo,boy,German
MaElena,girl,Unknown
Kernaghan,boy,Irish
Buzzie,boy,American
Lamarr,boy,German
Toyo,boy,Unknown
Esmirelda,girl,Spanish
Sydelle,girl,Hebrew
Alistir,boy,Greek
Valeree,girl,Latin
Maralyn,girl,British
Rafaelo,boy,Hebrew
Roselinde,girl,German
Abshalom,boy,Hebrew
Chineze,boy,African
Inderjit,boy,Unknown
Lynden,boy,British
Brandice,girl,British
Aileene,girl,Irish
Boyn,boy,Irish
Mady,girl,Hebrew
Savonne,girl,Spanish
Steffaney,girl,Greek
Jenice,girl,British
Mareesa,girl,Latin
Cuba,boy,Unknown
Ghillies,boy,Scottish
Cristopher,boy,Greek
Malori,girl,French
Mostyn,boy,Welsh
Tabithe,girl,Unknown
Jareeca,girl,Unknown
Amati,boy,Latin
Amadita,girl,Latin
Elianna,girl,Hebrew
Damienne,girl,Greek
Cristine,girl,Latin
Faramund,boy,British
Stoney,boy,British
Selinde,girl,Latin
Hanly,boy,British
Ornett,girl,German
Stevy,boy,Greek
Lataisha,girl,Unknown
Presleigh,boy,British
Onoria,girl,Unknown
Evelia,girl,Unknown
Bertin,boy,British
Manzo,boy,Japanese
Reiny,girl,Unknown
Christall,girl,Latin
Shaughnessy,girl,Gaelic
Madelaine,girl,Hebrew
Wetherill,boy,British
Izik,boy,Hebrew
Jestine,girl,Welsh
Mileva,girl,Unknown
Gayll,girl,Hebrew
Clarrisa,girl,Latin
Gafni,boy,Hebrew
Kamla,girl,Unknown
Ludivina,girl,Unknown
Jacobyna,girl,Hebrew
Trilbey,girl,Unknown
Zenovia,girl,Unknown
Ophelie,girl,Greek
Lisabette,girl,Unknown
Dorria,girl,Greek
Raelean,girl,Unknown
Lepaula,girl,Unknown
Annina,girl,Hebrew
DeMarco,boy,American
Rashaun,boy,American
Cherry,girl,Modern
Croslea,boy,British
Katline,girl,Irish
Aleko,boy,Greek
Farlay,boy,British
Headly,boy,British
Kiersten,girl,Scandinavian
Onorio,boy,Unknown
Eulaylie,girl,Greek
Kayli,girl,Gaelic
Veenia,girl,Unknown
Kenan,boy,Hebrew
Rowly,boy,British
Carrissa,girl,Latin
Hartlee,boy,British
Beverlee,girl,British
Corina,girl,Greek
Todhunter,boy,British
Edrea,girl,British
Ash,boy,British
Morry,boy,Unknown
Mickey,boy,Hebrew
Phineas,boy,Hebrew
Margize,girl,Greek
Dierck,boy,Danish
Byrne,boy,British
Anecky,girl,African
Nerolia,girl,Italian
Sabylla,girl,Greek
Factor,boy,British
Buckminister,boy,British
Mercy,girl,British
Rorik,boy,Irish
Fiorella,girl,Latin
Harrellah,girl,Hebrew
Biserka,girl,Russian
Domineke,girl,Latin
Zachava,girl,Hebrew
Orsola,girl,Scandinavian
Kolette,girl,Unknown
Garmann,boy,German
Cybele,girl,Greek
Valter,boy,German
Masaki,boy,Unknown
Dietbold,boy,German
Ioannes,boy,Hebrew
Ambarlie,girl,Egyptian
Kamanika,girl,Unknown
Olympio,boy,Greek
Feliciona,girl,Latin
Lili,girl,Latin
Vernis,girl,Latin
Behira,girl,Hebrew
Belvia,girl,French
Lenorra,girl,Greek
Dama,girl,Spanish
Symms,boy,Hebrew
Tacoma,boy,Unknown
Brahma,boy,Indian
Hyacintia,girl,Greek
Edithe,girl,British
Yseulte,girl,Unknown
Giovel,boy,Italian
Gelette,boy,French
Anisim,boy,Russian
Kaeyban,boy,Unknown
Clarice,girl,Latin
Anoush,girl,Persian
Kira,girl,Greek
Vered,girl,Unknown
Mellicia,girl,Unknown
Seven,boy,Unknown
Rochester,boy,British
Orinda,girl,Latin
Edyta,girl,Polish
Therron,boy,Greek
Oral,boy,Latin
Valeta,girl,Unknown
Dimple,girl,American
Lashay,girl,Unknown
Suzetta,girl,Hebrew
Mahali,girl,Hebrew
Lalage,girl,Greek
Tracina,girl,Unknown
Zuleica,girl,Arabic
Grevill,boy,French
Clarene,girl,Latin
Toree,girl,Unknown
Herv,boy,French
Meerta,girl,Spanish
Galil,boy,Hebrew
Suesann,girl,Hebrew
Tiera,girl,Spanish
Ike,boy,Hebrew
Ilanys,girl,French
Judee,girl,Hebrew
Cassiopeia,girl,Greek
Vedis,girl,Sanskrit
Jahi,boy,Unknown
Dahnisha,girl,Danish
Zoie,girl,Greek
Nikoleta,girl,Greek
Griffen,boy,Latin
Barbera,girl,Latin
Denten,boy,British
Hanns,boy,Scandinavian
Quintrell,boy,British
Bardou,boy,British
Hazem,boy,Unknown
Racher,girl,Unknown
Atila,boy,Hungarian
Jaidin,boy,Hebrew
Chapell,girl,British
Roslynn,girl,German
Brittyne,girl,Latin
Jagjit,boy,Unknown
Waleed,boy,Arabic
Lexie,girl,Greek
Katka,girl,Greek
Lonette,girl,Welsh
Erwin,boy,British
Trinitey,girl,Latin
Gillianne,girl,Latin
Zinnia,girl,Latin
Vala,girl,German
Ezequiel,boy,Hebrew
Parvati,girl,Unknown
Roopa,girl,Unknown
Hyacintha,girl,Greek
Cindell,girl,Unknown
Gannet,boy,German
Jayleen,girl,American
Ceredig,boy,Welsh
Shakill,boy,Arabic
Patryk,boy,Latin
Mayhew,boy,Hebrew
Effiegene,girl,Unknown
Marloes,girl,Unknown
Helge,boy,Norse
Arwin,boy,German
Hermelinda,girl,Unknown
Chell,girl,British
Bond,boy,German
Christanne,girl,Latin
Kadena,girl,Latin
Earvette,girl,British
Christin,girl,Latin
Col,boy,Scottish
Tanhya,girl,Unknown
Banee,girl,Vietnamese
Tatyanna,girl,Russian
Ilya,boy,Russian
Marvela,girl,Latin
Shermann,boy,British
Eziechiele,boy,Hebrew
Margarethe,girl,Greek
Lizzie,girl,Hebrew
Horatius,boy,Latin
Nollaig,boy,Unknown
Raad,boy,Unknown
Trinchen,girl,Greek
Elmera,girl,Arabic
Tirell,boy,Unknown
Yoshio,boy,Unknown
Brenda,girl,Norse
Guthry,boy,Irish
Pollerd,boy,British
Beyren,boy,British
Ashwin,boy,Indian
Fabrizio,boy,Latin
Jarah,boy,Hebrew
Patrikia,girl,Unknown
Patrysha,girl,Unknown
Kaine,boy,Irish
Piet,boy,Greek
Seibert,boy,British
Alstin,boy,British
Filippine,girl,Unknown
Harlon,boy,Unknown
Raynae,girl,Unknown
Jacquey,girl,Unknown
Acquanetta,girl,Latin
Bollton,boy,British
Andino,boy,Latin
Donalda,girl,Scottish
Teodosia,girl,Greek
Fearghus,boy,Scottish
Tinka,girl,Latin
Renat,boy,French
Garvy,boy,Irish
Kiahna,girl,American
Bertha,girl,German
Brandyce,girl,British
Morse,boy,British
Jyll,girl,Unknown
Ennish,girl,Irish
Darsha,girl,Indian
Edris,girl,Welsh
Salvatore,boy,Latin
Taffy,girl,Welsh
Celestinea,girl,Latin
Crispino,boy,Latin
Herakles,boy,Greek
Christon,girl,Latin
Emerant,girl,Spanish
Ives,boy,French
Isabell,girl,Hebrew
Graeham,boy,British
Visscher,boy,German
Cescelie,girl,Welsh
Vicente,boy,Latin
Osborne,boy,Norse
Kalla,girl,Latin
Mohrag,girl,Unknown
Quint,boy,Latin
Tirzha,girl,Hebrew
Oron,boy,Hebrew
Muhannad,boy,Unknown
Carlyn,girl,German
Oralis,girl,Unknown
Mile,boy,Unknown
Ilsa,girl,Hebrew
Ephigenius,boy,Greek
Volfango,boy,German
Harwood,boy,British
Merwyn,boy,Welsh
Mitford,boy,British
Electa,girl,Latin
Saquoya,girl,Native American
Caddiss,boy,British
Masumi,girl,Unknown
Khristine,girl,Russian
Yoshikazu,boy,Unknown
Elshe,girl,Norse
Rajena,girl,Unknown
Ogdon,boy,British
Barrat,boy,German
Lacresha,girl,Unknown
Jameisha,girl,American
Mansour,boy,Arabic
Ortensia,girl,Italian
Brunelle,girl,Latin
Gillyanne,girl,Latin
Melodia,girl,Greek
Doroteja,girl,Unknown
Vyoma,girl,Unknown
Annunciata,girl,Italian
Charty,girl,Latin
Ninel,girl,Unknown
Menashi,boy,Hebrew
Steffan,boy,Scandinavian
Ellsey,girl,Hebrew
Ilie,boy,Greek
Cristel,girl,Latin
Kristof,boy,Scandinavian
Monica,girl,Latin
Jareb,boy,Hebrew
Lilianna,girl,Latin
Lakia,girl,American
Demiana,girl,French
Ridglea,boy,British
Sibbell,girl,Greek
Konnie,girl,Unknown
Asser,boy,Hebrew
Macgowan,boy,Irish
Hildagarde,girl,German
Fionnguala,girl,Unknown
Venessa,girl,Greek
Barde,boy,Scottish
Syndee,girl,Greek
Kaysey,girl,Irish
Nestorio,boy,Greek
Sarala,girl,Unknown
Oak,boy,British
Israj,boy,Unknown
Valeriya,girl,Unknown
Khristian,girl,Latin
Treye,boy,Unknown
Tanney,boy,British
Letitia,girl,Latin
Zawadi,boy,Unknown
Iann,boy,Unknown
Koneesha,girl,British
Takisha,girl,Arabic
Audris,girl,German
Maranda,girl,Latin
Thadda,girl,Aramaic
Noeline,girl,French
Julijana,girl,Unknown
Kellea,girl,Unknown
Richardyne,girl,German
Tiaon,girl,Unknown
Tedmund,boy,British
Lisl,girl,Hebrew
Bonaventure,boy,Latin
Alvineea,girl,British
Abda,boy,Arabic
Eilon,boy,Hebrew
Rajanee,girl,Sanskrit
Regnault,boy,Latin
Jezus,boy,Unknown
Kortnay,girl,Unknown
Yuta,girl,Hebrew
Mirja,girl,Unknown
Garwyn,boy,British
Akala,girl,Australian
Valda,girl,German
Slavomir,boy,Czech
Thelma,girl,Greek
Jayvee,boy,American
Marr,boy,German
McGeorge,boy,Unknown
Karlota,girl,German
Ayako,girl,Japanese
Tyssen,boy,French
Shantella,girl,French
Kevron,boy,Irish
Kodiak,boy,Unknown
Ashtun,boy,British
Shelbiana,girl,Unknown
Adolfa,girl,German
Bern,boy,German
Bertoll,boy,German
Gearldine,girl,Unknown
Gerrald,boy,German
Yasunari,boy,Unknown
Marja Liisa,girl,Unknown
Toran,boy,Gaelic
Aubre,girl,German
Broomlie,boy,British
Jamessa,girl,Unknown
Eldor,boy,British
Aku,girl,Scandinavian
Modesto,boy,Spanish
Silkya,girl,Unknown
Caileen,girl,Gaelic
Beth,girl,Hebrew
Audrianna,girl,British
Urszula,girl,Scandinavian
Yuonne,girl,Unknown
Hadarah,girl,Hebrew
Garjana,boy,Unknown
Elata,girl,Latin
Areli,girl,Latin
Ohed,boy,Hebrew
Jazzmynn,girl,Persian
Orelie,girl,French
Garmin,boy,British
Lovell,boy,French
Selah,boy,Hebrew
Roderyck,boy,German
Annthea,girl,Greek
Ileanna,girl,Hebrew
Cranleigh,boy,British
Tallys,boy,British
Jenn,girl,Welsh
Hakan,boy,Scandinavian
Gloriana,girl,Latin
Vasily,boy,Greek
Tacy,girl,Latin
Vellda,girl,Unknown
Benedykta,girl,Polish
Kellee,girl,Irish
Red,boy,Unknown
Jeanene,girl,Hebrew
Westleigh,boy,British
Abyell,boy,Hebrew
Lakeesha,girl,Unknown
Maddelena,girl,Hebrew
Snyder,boy,German
Provence,girl,Unknown
Lionel,boy,Latin
Pascual,boy,Latin
Krystaleen,girl,Unknown
Urban,boy,Latin
Samala,girl,Hebrew
Abednigo,boy,Hebrew
Ardley,boy,British
Dova,girl,Unknown
Neptune,boy,Unknown
Silva,girl,Latin
Sharyse,girl,French
Narda,girl,Latin
Oswaldo,boy,German
Krelis,boy,Unknown
Zacherish,boy,Hebrew
Kimm,girl,British
Jozie,girl,Unknown
Hakima,girl,Unknown
Allysann,girl,German
Kervin,boy,Irish
Jourdain,boy,Hebrew
Emonualle,girl,Hebrew
Barcelona,girl,Spanish
Joncey,girl,Unknown
Crescenta,girl,French
Cassio,boy,Latin
Tonantzin,girl,Unknown
Krystianna,girl,Scandinavian
Kezia,girl,Hebrew
Buckley,boy,British
Everet,boy,British
Jessicalynn,girl,Unknown
Anne,girl,Hebrew
Shahrukh,boy,Unknown
Lennart,boy,German
Norali,girl,Unknown
Tamica,girl,American
Gayleen,girl,Hebrew
Kelianne,girl,Irish
Careshmeh,girl,French
Marchery,girl,French
Richelle,girl,American
Athan,boy,Greek
Luzita,girl,Spanish
Kera,girl,Irish
Maryn,girl,Latin
Byanca,girl,Italian
Mosheh,boy,Hebrew
Aishatou,girl,Arabic
Morfinn,boy,Scottish
Coraline,girl,Latin
Washburne,boy,British
Barnabey,boy,Greek
Marjol,girl,Unknown
Svetlana,girl,Slavic
Galena,girl,British
Sagan,boy,Slavic
Eduvigis,girl,German
Barrak,boy,Swahili
Nausikaa,girl,Unknown
Katalin,girl,Greek
Marguarita,girl,Greek
Linos,boy,Greek
Yelisabeta,girl,Russian
Ralph,boy,British
Kalisa,girl,American
Pamala,girl,Greek
Terrah,girl,Latin
Snape,boy,Unknown
Debra,girl,Hebrew
Delis,girl,Latin
Jameel,boy,Arabic
Collete,girl,French
Britta,girl,Swedish
Cherylann,girl,Greek
Yurii,boy,Russian
Letiticia,girl,Unknown
Manar,boy,Unknown
Nikodemos,boy,Unknown
Stevey,girl,Greek
Rachell,girl,Hebrew
Chaunte,girl,French
Rosamonde,girl,German
Ellsa,girl,Hebrew
Andrei,boy,Greek
Liberia,girl,Unknown
Sylvine,girl,Latin
Pierson,boy,Greek
Zina,girl,Greek
Dagwood,boy,British
Leeta,girl,Latin
Dominee,girl,Latin
Austyna,girl,Latin
Rickee,girl,Norse
Kaleel,boy,Arabic
Dameris,girl,Latin
Shyama,girl,Unknown
Cariana,girl,Latin
Jaeden,boy,Hebrew
Yohanna,girl,Hebrew
Chanin,boy,Unknown
Nesbitt,boy,British
Ep,boy,Unknown
Baudric,boy,German
Dajon,boy,American
Pavel,boy,Latin
Laqueta,girl,Unknown
Greydon,boy,British
Audessa,girl,British
Symphony,girl,Unknown
Kierstin,girl,Scandinavian
Borris,boy,Slavic
Lexina,girl,Greek
Felicidad,girl,Latin
Bryent,boy,Irish
Channa,girl,Hebrew
Jolander,girl,Unknown
Adorae,girl,Latin
Marlene,girl,German
Rashelle,girl,Hebrew
Urselina,girl,Scandinavian
Karaleena,girl,German
Tsar,boy,Unknown
Bradburn,boy,British
Vesma,girl,Unknown
Savka,girl,Unknown
Niah,girl,Swahili
Harlan,boy,British
Angle,girl,Greek
Francette,girl,Latin
Sacoya,girl,Native American
Ginia,girl,Latin
Mauricus,boy,Unknown
Klaudiusz,boy,Unknown
Preciosa,girl,Latin
Oleksiy,boy,Unknown
Lourdetta,girl,French
Jairo,boy,Spanish
Calysta,girl,Latin
Artha,girl,Indian
Cidney,girl,British
Linnea,girl,Scandinavian
Demeisha,girl,American
Jivanta,girl,Unknown
Baldor,boy,British
Katla,girl,Greek
Aundray,boy,French
Gaillard,boy,British
Britani,girl,Latin
Adriaan,boy,Latin
Dominick,boy,Latin
Zinaide,girl,Russian
Crofft,boy,British
Rebeckia,girl,Hebrew
Valetta,girl,Unknown
Whittnie,girl,British
Dennyson,boy,British
Barnie,boy,Greek
Kallan,girl,Scottish
Agnelle,girl,Greek
Malisha,girl,Unknown
Dahna,girl,Italian
Lakesia,girl,Unknown
Herculano,boy,Unknown
Shirline,girl,British
Stansfield,boy,British
Meira,girl,Hebrew
Mariet,girl,French
Diya,boy,Indian
Lytten,boy,British
Lucreisha,girl,Latin
Joesph,boy,Unknown
Gulhan,girl,Unknown
Louetta,girl,Unknown
Margy,girl,Greek
Klotilda,girl,Hungarian
Nycole,girl,Greek
Sharyll,girl,Greek
Wescot,boy,British
Marleen,girl,Hebrew
Sheylyn,girl,Unknown
Eleazer,boy,Hebrew
Nga,girl,Unknown
Krzysztof,boy,Scandinavian
Margaretha,girl,Unknown
Barklay,boy,Scottish
Chesnea,girl,British
Geina,girl,Unknown
Alfrieda,girl,German
Crosley,boy,British
Ludwiga,girl,German
Arlet,girl,French
Glennesha,girl,Unknown
Nor,girl,Unknown
Rayanna,girl,British
Brookelynn,girl,British
Sharaya,girl,American
Rashid,boy,Arabic
Nishad,boy,Unknown
Brittoni,girl,Latin
Blanford,boy,British
Kelulla,girl,Hebrew
Olaniyi,girl,Unknown
Veejay,boy,Sanskrit
Bara,girl,Hebrew
Dagon,boy,Aramaic
Charudatta,boy,Indian
Birdie,girl,German
Barnhard,boy,German
Hanni,girl,Unknown
Sepp,boy,Hebrew
Daffodil,girl,French
Rhapsody,girl,Unknown
Flick,girl,Unknown
Christalle,girl,Greek
Hafza,girl,Arabic
Dulce,girl,Latin
Jeannine,girl,Modern
Asiph,boy,Hebrew
Nadean,girl,Unknown
Genevieve,girl,French
Ambros,boy,Greek
Lillieana,girl,Unknown
Amara,girl,Latin
Makayla,girl,Hebrew
Kimble,boy,Celtic
Lisbett,girl,Hebrew
Verka,girl,Slavic
Hussain,boy,Arabic
Palmeeda,girl,Latin
Gennifer,girl,Welsh
Delle,girl,German
Caroyln,girl,German
Annot,girl,Scottish
Tanita,girl,Russian
Bromwell,boy,British
Tarla,girl,Unknown
Shawniece,girl,British
Bjornsterne,boy,Scandinavian
Vernal,boy,French
Gilburt,boy,French
Vanek,boy,Hebrew
Amandina,girl,Latin
Mistral,boy,Unknown
Felecia,girl,Unknown
Mauran,boy,Unknown
Keriann,girl,Irish
Chrissta,girl,Latin
Ieuan,boy,Welsh
Catey,girl,Greek
Rozeanna,girl,British
Alda,girl,German
Gennarius,boy,Italian
Koresh,boy,Hebrew
Vasilisa,girl,Unknown
Casaundr,girl,Greek
Quinanna,girl,Unknown
Mariam,girl,Latin
Vitali,boy,Unknown
Pellam,boy,British
Gidon,boy,Hebrew
Dagmar,girl,Scandinavian
Lezlie,girl,Scottish
Alicinda,girl,Latin
Nechum,boy,Hebrew
Brandan,boy,British
Hewlitt,boy,French
Ware,boy,British
Karletta,girl,German
Merit,boy,British
Palomita,girl,Latin
Mattaeus,boy,Hebrew
Sharrese,girl,Unknown
Ivee,girl,British
Caci,girl,Irish
Alick,boy,Scottish
Redd,boy,British
Lacia,girl,Unknown
Pekelo,boy,Hawaiian
Josalyn,girl,German
Waide,boy,Unknown
Chukwuebuka,girl,African
Tynen,boy,Irish
Alcedio,boy,Spanish
Onie,girl,Hebrew
Thea,girl,Greek
Brodee,boy,Irish
Panya,girl,Unknown
Kierra,girl,Irish
Tallee,girl,Unknown
Connor,boy,Irish
Wolfe,boy,German
Gainor,boy,Irish
Lorencz,boy,Latin
Munro,boy,Scottish
Sienna,girl,Latin
Junior,boy,Latin
Lacara,girl,Latin
Gradimir,boy,Unknown
Candelara,girl,Spanish
Thormond,boy,British
Gemal,boy,Arabic
Cresento,boy,Spanish
Chrisie,girl,Latin
Cathaoir,boy,Unknown
Azzura,girl,Spanish
Jackobina,girl,Hebrew
Lyssandra,girl,Unknown
Marino,boy,Latin
Jacobina,girl,Hebrew
Iakov,boy,Hebrew
Rezan,girl,Unknown
Ambroggio,boy,Greek
Deccan,boy,Indian
Salamasina,girl,Hawaiian
Jesslyn,girl,Hebrew
Bethannie,girl,Hebrew
Krystalle,girl,Greek
Kataleen,girl,Greek
Morrgan,boy,Welsh
Koryne,girl,Greek
Debb,girl,Hebrew
Mallissa,girl,Greek
Zekariah,boy,Hebrew
Rhainne,girl,Unknown
Vernin,boy,French
Haglee,boy,British
Chesny,boy,British
Callidora,girl,Greek
Cadhla,girl,Irish
Arria,girl,Arabic
Orvin,boy,British
Kristinna,girl,Latin
Herve,boy,French
Swynford,boy,British
Fe,girl,British
Ninoska,girl,Spanish
Shahnaz,girl,Persian
Masaji,boy,Unknown
Marcile,girl,Latin
Maks,boy,Latin
Astraeia,girl,Greek
Hajime,boy,Unknown
Vennessa,girl,Greek
Arthurine,girl,Celtic
Floella,girl,Unknown
Carryn,girl,Danish
Berend,boy,German
Coster,boy,British
Brityn,girl,Latin
Kierrin,boy,Irish
Dinora,girl,Hebrew
Fatima,girl,Arabic
Geminiano,boy,Unknown
Guennola,girl,Welsh
Jonasco,boy,Hebrew
Lachresa,girl,Unknown
